Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,General government net debt,Percent of GDP, ,,-10.112,-9.617,-12.905,-12.991,-13.010,-10.956,-9.861,-7.747,-2.331,-0.113,1.528,2.271,2.406,2.036,1.100
Burkina Faso,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Burkina Faso,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Burundi,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Burundi,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Cabo Verde,General government net debt,National currency,Billions,,80.539,72.193,70.894,80.738,89.349,107.171,130.919,146.731,163.509,179.885,190.305,201.048,210.702,218.099,226.059
Cabo Verde,General government net debt,Percent of GDP, ,,74.078,59.188,52.632,59.419,64.480,72.450,87.075,95.914,105.530,113.516,115.853,116.431,114.634,111.386,108.437
Cambodia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Cambodia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Cameroon,General government net debt,National currency,Billions,,"1,489.116","1,170.810","1,014.619","1,114.198","1,348.651","1,661.634","2,085.140","2,725.295","4,364.483","5,641.066","6,800.718","7,905.734","8,988.477","9,895.059","10,938.599"
Cameroon,General government net debt,Percent of GDP, ,,15.863,11.956,9.715,10.092,11.527,13.245,15.429,18.663,27.958,33.508,38.010,41.334,43.822,45.079,46.595
Canada,General government net debt,National currency,Billions,,380.858,347.294,304.956,381.715,445.198,480.408,514.409,555.857,553.800,529.657,554.490,541.856,515.217,483.452,442.925
Canada,General government net debt,Percent of GDP, ,,25.523,22.071,18.449,24.354,26.785,27.143,28.221,29.376,28.068,26.674,27.468,25.771,23.482,21.133,18.580
Central African Republic,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Central African Republic,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Chad,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Chad,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Chile,General government net debt,National currency,Billions,,"-5,438.349","-11,725.726","-18,083.453","-10,173.906","-7,798.894","-10,445.078","-8,800.294","-7,753.095","-6,463.910","-7,138.533","-1,872.686","2,924.229","6,770.224","9,792.404","12,692.444"
Chile,General government net debt,Percent of GDP, ,,-6.629,-12.967,-19.276,-10.563,-7.034,-8.616,-6.822,-5.650,-4.381,-4.543,-1.137,1.696,3.721,5.083,6.198
China,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
China,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Colombia,General government net debt,National currency,Billions,,"97,076.421","96,887.820","106,900.608","131,956.043","155,020.683","168,250.357","165,254.052","191,845.151","255,496.139","323,669.422","358,321.918","373,409.692","386,919.234","393,779.189","404,540.182"
Colombia,General government net debt,Percent of GDP, ,,25.287,22.476,22.267,26.148,28.448,27.067,24.870,27.011,33.789,40.257,42.155,41.241,39.746,37.439,35.577
Comoros,General government net debt,National currency,Billions,,103.804,103.274,102.356,101.456,101.579,99.663,97.074,44.204,56.356,69.787,80.124,85.821,89.663,88.047,86.996
Comoros,General government net debt,Percent of GDP, ,,65.651,61.794,57.489,53.527,50.324,46.132,42.541,18.146,22.266,26.739,29.185,29.586,29.078,26.818,24.860
Democratic Republic of the Congo,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Democratic Republic of the Congo,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Republic of Congo,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Republic of Congo,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Costa Rica,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Costa Rica,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Côte d'Ivoire,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Côte d'Ivoire,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Croatia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Croatia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Cyprus,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Cyprus,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Czech Republic,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Czech Republic,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Denmark,General government net debt,National currency,Billions,,18.835,-80.252,-119.841,-101.294,-59.179,20.699,124.569,76.266,94.254,133.005,189.506,232.514,271.777,307.578,337.297
Denmark,General government net debt,Percent of GDP, ,,1.119,-4.614,-6.667,-5.909,-3.290,1.129,6.617,4.007,4.852,6.703,9.332,11.040,12.384,13.407,14.068
Djibouti,General government net debt,National currency,Billions,,78.578,84.005,100.796,103.270,97.916,96.690,103.588,85.035,115.823,161.754,200.214,204.238,216.153,220.212,220.914
Djibouti,General government net debt,Percent of GDP, ,,57.522,55.759,57.663,57.249,50.137,43.906,43.059,32.875,41.039,52.707,59.185,54.517,52.099,48.161,44.252
Dominica,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Dominica,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Dominican Republic,General government net debt,National currency,Billions,,246.665,254.944,324.821,393.095,470.040,571.235,724.273,885.382,957.998,"1,041.157","1,162.943","1,290.665","1,409.232","1,558.357","1,734.821"
Dominican Republic,General government net debt,Percent of GDP, ,,19.424,17.519,19.603,22.729,23.753,25.750,30.464,34.604,34.383,34.289,35.109,35.853,36.020,36.650,37.542
Ecuador,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Ecuador,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Egypt,General government net debt,National currency,Billions,,440.828,480.317,497.573,612.256,724.359,884.191,"1,069.776","1,369.615","1,635.339","1,895.893","2,222.664","2,553.570","2,929.154","3,332.328","3,737.680"
Egypt,General government net debt,Percent of GDP, ,,67.872,61.332,52.844,55.871,57.094,61.331,64.577,74.282,77.803,77.985,80.803,81.331,81.871,82.606,82.512
El Salvador,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
El Salvador,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Equatorial Guinea,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Equatorial Guinea,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Eritrea,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Eritrea,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Estonia,General government net debt,National currency,Billions,,-1.443,-1.705,-1.312,-1.338,-1.170,-1.009,-0.462,-0.277,-0.262,-0.262,-0.262,-0.262,-0.262,-0.255,-0.255
Estonia,General government net debt,Percent of GDP, ,,-10.674,-10.495,-7.940,-9.455,-7.946,-6.051,-2.568,-1.457,-1.312,-1.280,-1.220,-1.157,-1.092,-1.002,-0.940
Ethiopia,General government net debt,National currency,Billions,,79.992,95.636,86.726,108.095,136.961,169.021,206.438,271.508,383.309,538.528,724.203,913.693,"1,092.310","1,243.546","1,409.885"
Ethiopia,General government net debt,Percent of GDP, ,,60.295,55.186,34.672,32.018,35.487,32.815,27.624,31.319,36.133,43.546,50.970,55.209,56.619,55.180,53.475
Fiji,General government net debt,National currency,Billions,,2.793,2.605,2.667,2.935,3.141,3.266,3.338,3.410,3.697,4.003,4.240,4.382,4.612,4.879,5.160
Fiji,General government net debt,Percent of GDP, ,,52.003,47.505,47.493,52.280,52.132,48.249,46.882,44.138,43.225,43.481,43.497,41.928,41.150,40.722,40.282
Finland,General government net debt,National currency,Billions,,-114.823,-130.120,-96.793,-107.976,-115.553,-96.027,-100.497,-109.533,-102.736,-95.803,-89.864,-84.189,-79.306,-75.294,-72.282
Finland,General government net debt,Percent of GDP, ,,-66.520,-69.738,-49.968,-59.646,-61.760,-48.777,-50.301,-53.867,-50.050,-46.286,-42.549,-38.885,-35.535,-32.607,-30.199
France,General government net debt,National currency,Billions,,"1,071.900","1,123.600","1,203.800","1,358.500","1,473.800","1,572.900","1,704.880","1,790.195","1,873.370","1,943.914","2,008.302","2,066.750","2,114.170","2,149.314","2,169.350"
France,General government net debt,Percent of GDP, ,,57.838,57.749,60.315,70.061,73.746,76.381,81.693,84.580,87.851,89.075,90.500,91.127,90.799,89.609,87.659
Gabon,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Gabon,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
The Gambia,General government net debt,National currency,Billions,,25.840,12.103,13.700,15.018,18.567,20.450,22.464,26.930,34.772,35.007,40.913,46.442,46.748,47.132,46.279
The Gambia,General government net debt,Percent of GDP, ,,140.551,60.909,63.922,62.583,69.639,77.274,76.955,83.323,101.141,91.623,96.888,99.241,90.713,83.054,74.056
Georgia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Georgia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Germany,General government net debt,National currency,Billions,,"1,221.983","1,209.525","1,228.479","1,334.872","1,462.722","1,487.739","1,498.763","1,507.438","1,511.809","1,475.720","1,457.781","1,441.944","1,420.397","1,390.735","1,367.323"
Germany,General government net debt,Percent of GDP, ,,51.060,48.126,47.955,54.257,56.693,55.038,54.404,53.440,51.852,48.770,46.692,44.925,43.048,40.967,39.138
Ghana,General government net debt,National currency,Billions,,4.101,5.385,9.083,11.914,19.813,23.185,35.396,49.413,74.954,94.932,112.799,128.341,141.107,149.843,160.741
Ghana,General government net debt,Percent of GDP, ,,21.923,23.259,30.099,32.555,43.032,38.760,46.996,52.895,66.130,70.943,72.075,70.470,68.874,64.975,62.284
Greece,General government net debt,National currency,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,296.779,314.059,313.039,310.799,n/a,n/a,n/a,n/a,n/a
Greece,General government net debt,Percent of GDP, ,,n/a,n/a,n/a,n/a,n/a,n/a,155.216,174.101,176.301,176.567,n/a,n/a,n/a,n/a,n/a
Grenada,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Grenada,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Guatemala,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Guatemala,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Guinea,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Guinea,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Guinea-Bissau,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Guinea-Bissau,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Guyana,General government net debt,National currency,Billions,,274.905,207.327,224.344,247.649,282.126,332.889,357.345,318.501,292.535,288.400,328.122,366.517,407.308,450.263,495.882
Guyana,General government net debt,Percent of GDP, ,,94.157,58.874,57.303,59.947,61.322,63.327,61.330,51.862,46.049,44.142,47.408,49.861,52.430,54.749,56.915
Haiti,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Haiti,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Honduras,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Honduras,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Hong Kong SAR,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Hong Kong SAR,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Hungary,General government net debt,National currency,Billions,,"14,995.745","16,122.609","17,208.802","18,962.957","20,349.775","20,941.990","20,640.460","21,406.414","22,846.423","24,126.547","25,014.944","26,198.130","27,235.193","28,152.031","29,170.518"
Hungary,General government net debt,Percent of GDP, ,,62.123,63.130,63.646,72.216,75.226,74.437,72.099,71.200,70.996,71.567,71.042,70.852,70.039,68.976,68.161
Iceland,General government net debt,National currency,Billions,,244.294,239.508,822.386,"1,053.089","1,063.476","1,049.200","1,134.739","1,175.871","1,119.898","1,085.054","1,071.121",914.831,893.007,736.291,782.980
Iceland,General government net debt,Percent of GDP, ,,20.427,17.560,53.340,66.257,65.724,61.699,63.850,62.244,55.893,49.198,45.199,36.177,33.429,26.050,26.329
India,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
India,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Indonesia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Indonesia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Islamic Republic of Iran,General government net debt,National currency,Billions,,"-20,720.458","-83,774.453","-106,311.693","99,843.260","94,221.069","-169,727.125","413,963.040","-159,527.540","-236,612.908","211,376.742","391,454.654","465,242.324","525,061.304","557,877.902","551,364.275"
Islamic Republic of Iran,General government net debt,Percent of GDP, ,,-0.874,-2.675,-2.839,2.537,1.964,-2.700,5.790,-1.693,-2.144,1.823,3.037,3.183,3.237,3.136,2.835
Iraq,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
