Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
El Salvador,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Equatorial Guinea,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Eritrea,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Estonia,General government net debt,National currency,Billions,,-1.443,-1.705,-1.312,-1.338,-1.170,-1.009,-0.462,-0.277,-0.262,-0.262,-0.262,-0.262,-0.262,-0.255,-0.255
Ethiopia,General government net debt,National currency,Billions,,79.992,95.636,86.726,108.095,136.961,169.021,206.438,271.508,383.309,538.528,724.203,913.693,"1,092.310","1,243.546","1,409.885"
Fiji,General government net debt,National currency,Billions,,2.793,2.605,2.667,2.935,3.141,3.266,3.338,3.410,3.697,4.003,4.240,4.382,4.612,4.879,5.160
Finland,General government net debt,National currency,Billions,,-114.823,-130.120,-96.793,-107.976,-115.553,-96.027,-100.497,-109.533,-102.736,-95.803,-89.864,-84.189,-79.306,-75.294,-72.282
France,General government net debt,National currency,Billions,,"1,071.900","1,123.600","1,203.800","1,358.500","1,473.800","1,572.900","1,704.880","1,790.195","1,873.370","1,943.914","2,008.302","2,066.750","2,114.170","2,149.314","2,169.350"
Gabon,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
The Gambia,General government net debt,National currency,Billions,,25.840,12.103,13.700,15.018,18.567,20.450,22.464,26.930,34.772,35.007,40.913,46.442,46.748,47.132,46.279
Georgia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Germany,General government net debt,National currency,Billions,,"1,221.983","1,209.525","1,228.479","1,334.872","1,462.722","1,487.739","1,498.763","1,507.438","1,511.809","1,475.720","1,457.781","1,441.944","1,420.397","1,390.735","1,367.323"
Ghana,General government net debt,National currency,Billions,,4.101,5.385,9.083,11.914,19.813,23.185,35.396,49.413,74.954,94.932,112.799,128.341,141.107,149.843,160.741
Greece,General government net debt,National currency,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,296.779,314.059,313.039,310.799,n/a,n/a,n/a,n/a,n/a
Grenada,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Guatemala,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Guinea,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Guinea-Bissau,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Guyana,General government net debt,National currency,Billions,,274.905,207.327,224.344,247.649,282.126,332.889,357.345,318.501,292.535,288.400,328.122,366.517,407.308,450.263,495.882
Haiti,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Honduras,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Hong Kong SAR,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Hungary,General government net debt,National currency,Billions,,"14,995.745","16,122.609","17,208.802","18,962.957","20,349.775","20,941.990","20,640.460","21,406.414","22,846.423","24,126.547","25,014.944","26,198.130","27,235.193","28,152.031","29,170.518"
Iceland,General government net debt,National currency,Billions,,244.294,239.508,822.386,"1,053.089","1,063.476","1,049.200","1,134.739","1,175.871","1,119.898","1,085.054","1,071.121",914.831,893.007,736.291,782.980
India,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Indonesia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Islamic Republic of Iran,General government net debt,National currency,Billions,,"-20,720.458","-83,774.453","-106,311.693","99,843.260","94,221.069","-169,727.125","413,963.040","-159,527.540","-236,612.908","211,376.742","391,454.654","465,242.324","525,061.304","557,877.902","551,364.275"
Iraq,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Ireland,General government net debt,National currency,Billions,,26.478,27.983,42.136,61.984,110.711,134.953,151.531,160.898,166.060,164.830,164.053,164.873,163.347,163.235,163.480
Israel,General government net debt,National currency,Billions,,494.323,485.386,505.528,545.732,565.103,599.436,630.658,662.004,693.389,703.189,749.004,796.358,845.994,898.020,952.580
Italy,General government net debt,National currency,Billions,,"1,337.693","1,354.310","1,407.514","1,482.004","1,577.816","1,643.892","1,691.844","1,760.439","1,814.764","1,823.562","1,860.842","1,881.099","1,886.308","1,888.622","1,889.167"
Jamaica,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Japan,General government net debt,National currency,Billions,,"410,560.400","412,884.500","477,558.800","500,315.000","545,690.200","599,743.300","613,320.800","595,163.900","614,672.400","639,303.493","656,129.692","670,907.258","682,452.767","691,716.025","700,739.872"
Jordan,General government net debt,National currency,Billions,,7.319,8.149,8.594,10.205,11.462,13.403,16.751,19.097,20.556,22.219,23.391,24.230,24.847,25.261,25.763
Kazakhstan,General government net debt,National currency,Billions,,"-1,108.703","-1,772.273","-2,233.365","-1,878.296","-2,235.958","-3,588.466","-4,944.016","-6,337.579","-7,604.316","-12,612.820","-11,039.473","-9,323.825","-7,949.656","-6,602.729","-6,006.887"
Kenya,General government net debt,National currency,Billions,,743.070,740.549,922.011,"1,055.675","1,274.790","1,455.445","1,617.144","1,807.604","2,317.208","2,998.587","3,632.245","4,067.038","4,537.118","4,995.972","5,479.971"
Kiribati,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Korea,General government net debt,National currency,Billions,,"266,181.644","279,484.337","296,863.449","341,207.121","365,628.200","392,418.632","413,409.183","451,242.203","490,082.062","528,325.426","568,191.513","601,038.853","626,776.212","642,434.634","656,055.684"
Kosovo,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Kuwait,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Kyrgyz Republic,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Lao P.D.R.,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Latvia,General government net debt,National currency,Billions,,1.198,1.004,2.694,4.022,5.161,6.098,6.477,7.478,8.392,7.782,8.098,8.516,8.574,8.693,8.786
Lebanon,General government net debt,National currency,Billions,,"59,211.642","61,200.182","65,704.196","69,990.000","73,930.955","77,496.765","82,094.000","89,111.000","94,268.000","101,202.412","107,402.236","114,231.852","121,919.206","130,720.660","140,584.921"
Lesotho,General government net debt,National currency,Billions,,0.663,-0.374,-1.552,-2.575,-0.719,0.419,-1.030,-0.796,-0.612,1.065,4.180,6.588,8.588,11.070,12.877
Liberia,General government net debt,National currency,Billions,,4.879,4.495,3.319,1.937,0.332,0.400,0.407,0.477,0.559,0.631,0.786,0.915,1.022,1.128,1.214
Libya,General government net debt,National currency,Billions,,-56.183,-66.137,-74.867,-73.946,-82.269,-72.408,-86.439,-77.363,-56.435,-32.833,-0.981,29.676,58.351,82.851,101.648
Lithuania,General government net debt,National currency,Billions,,3.165,3.777,4.415,6.612,8.922,10.478,11.365,12.495,14.416,14.739,15.267,15.747,16.163,16.532,16.853
Luxembourg,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Macao SAR,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
FYR Macedonia,General government net debt,National currency,Billions,,74.705,73.882,76.937,87.286,93.788,121.079,137.724,151.919,178.295,200.384,221.012,240.769,258.501,280.692,304.221
Madagascar,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Malawi,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Malaysia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Maldives,General government net debt,National currency,Billions,,6.007,6.683,9.360,14.065,17.103,20.612,23.583,26.783,31.051,35.095,41.812,51.540,62.412,72.257,79.547
Mali,General government net debt,National currency,Billions,,444.017,475.272,701.206,551.826,900.108,"1,118.201","1,319.407","1,298.258","1,671.635","2,335.931","2,595.351","2,864.819","3,171.182","3,440.189","3,740.011"
Malta,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Marshall Islands,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Mauritania,General government net debt,National currency,Billions,,633.765,744.078,857.749,959.990,"1,035.805","1,136.113","1,116.806","1,280.816","1,431.328","1,197.806","1,371.561","1,554.462","1,673.621","1,790.941","1,872.888"
Mauritius,General government net debt,National currency,Billions,,108.887,115.370,120.781,147.583,155.682,168.866,177.038,197.306,216.875,236.475,251.687,264.745,280.936,298.038,315.973
Mexico,General government net debt,National currency,Billions,,"3,135.439","3,314.463","4,063.364","4,382.263","4,813.211","5,450.590","5,890.846","6,504.316","7,446.057","8,633.480","9,457.927","10,020.342","10,509.891","11,021.634","11,567.162"
Micronesia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
